Tier,id,name,position,team,vor,adp,bye,ppg
3,276,Michael Wilson,WR,ARI,-8.24,249.5,8.0,-0.88
3,281,Demarcus Robinson,WR,SF,-8.49,324.0,14.0,-1.13
3,284,Jaylin Noel,WR,HOU,-8.63,239.5,6.0,-1.28
3,286,Tai Felton,WR,MIN,-8.7,327.0,6.0,-1.35
3,288,Anthony Miller,WR,BAL,-8.77,186.0,11.0,-1.42
3,289,Dontayvion Wicks,WR,GB,-8.78,267.0,5.0,-1.43
3,291,Joshua Palmer,WR,BUF,-8.84,189.0,7.0,-1.48
3,293,Andrei Iosivas,WR,CIN,-8.88,284.0,10.0,-1.53
3,294,Ray-Ray McCloud,WR,ATL,-8.89,243.0,5.0,-1.54
3,300,Olamide Zaccheaus,WR,CHI,-9.15,284.0,5.0,-1.79
3,301,Roman Wilson,WR,PIT,-9.15,264.5,5.0,-1.79
3,303,Noah Brown,WR,WAS,-9.2,325.0,12.0,-1.8399999999999999
3,304,Tutu Atwell,WR,LAR,-9.25,298.0,8.0,-1.8900000000000001
3,305,Devaughn Vele,WR,NO,-9.3,305.0,11.0,-1.9500000000000002
3,307,Elijah Moore,WR,BUF,-9.48,329.0,7.0,-2.12
3,308,Christian Watson,WR,GB,-9.49,289.0,5.0,-2.13
3,309,Kayshon Boutte,WR,NE,-9.56,277.0,14.0,-2.2
3,310,Dyami Brown,WR,JAX,-9.56,256.5,8.0,-2.21
3,311,Troy Franklin,WR,DEN,-9.57,298.5,12.0,-2.22
3,313,Brandin Cooks,WR,NO,-9.75,294.0,11.0,-2.39
3,321,Adonai Mitchell,WR,IND,-10.2,256.5,11.0,-2.85
3,324,Parker Washington,WR,JAX,-10.47,332.0,8.0,-3.11
3,325,Curtis Samuel,WR,BUF,-10.53,306.0,7.0,-3.17
3,333,Jalen Royals,WR,KC,-11.43,235.5,10.0,-4.07
3,335,Isaac TeSlaa,WR,DET,-11.58,257.5,8.0,-4.23
3,336,Malik Washington,WR,MIA,-11.59,313.0,12.0,-4.24
3,338,Diontae Johnson,WR,CLE,-12.02,292.5,9.0,-4.66
3,339,Jamari Thrash,WR,CLE,-12.02,260.5,,-4.66
3,340,Xavier Restrepo,WR,TEN,-12.18,261.0,10.0,-4.82
3,343,KeAndre Lambert-Smith,WR,LAC,-12.91,304.0,12.0,-5.55
3,344,Jermaine Burton,WR,CIN,-13.99,323.0,10.0,-6.63
