id,name,position,team,vor,adp,bye,ppg
239,Ty Johnson,RB,BUF,-7.04,278.0,7.0,-1.47
240,Darius Slayton,WR,NYG,-7.05,254.0,14.0,0.31
241,Tyler Lockett,WR,TEN,-7.08,269.0,10.0,0.28
242,Tahj Brooks,RB,CIN,-7.09,229.5,10.0,-1.52
243,Jonnu Smith,TE,PIT,-7.12,115.0,5.0,4.48
244,Chig Okonkwo,TE,TEN,-7.12,191.5,10.0,4.48
245,Jarquez Hunter,RB,LAR,-7.15,207.0,8.0,-1.5899999999999999
246,DeAndre Hopkins,WR,BAL,-7.2,170.0,7.0,0.16
247,Isaiah Davis,RB,NYJ,-7.21,326.0,9.0,-1.6400000000000001
248,Michael Penix,QB,ATL,-7.24,162.0,5.0,0.8
249,Tory Horton,WR,SEA,-7.29,264.5,8.0,0.06
250,Isaiah Bond,WR,CLE,-7.36,302.0,9.0,0.0
251,Efton Chism,WR,NE,-7.36,281.0,14.0,0.0
252,Ollie Gordon,RB,MIA,-7.38,234.5,12.0,-1.81
253,Elijah Mitchell,RB,KC,-7.42,256.0,10.0,-1.85
254,Xavier Legette,WR,CAR,-7.45,182.0,14.0,-0.09
255,Dalton Kincaid,TE,BUF,-7.45,128.0,7.0,4.15
256,Trevor Etienne,RB,CAR,-7.54,265.0,14.0,-1.97
257,Kendre Miller,RB,NO,-7.55,264.5,11.0,-1.98
258,Kimani Vidal,RB,LAC,-7.63,328.0,12.0,-2.06
259,Tre Tucker,WR,LV,-7.67,297.0,8.0,-0.32
260,Kyle Monangai,RB,CHI,-7.71,181.0,5.0,-2.14
261,Marquez Valdes-Scantling,WR,SEA,-7.71,299.0,8.0,-0.35000000000000003
262,Brandon Aiyuk,WR,SF,-7.73,117.0,14.0,-0.37
263,Devin Singletary,RB,NYG,-7.76,282.5,14.0,-2.19
264,Will Shipley,RB,PHI,-7.83,212.5,9.0,-2.27
265,Jalen Nailor,WR,MIN,-7.85,287.0,6.0,-0.5
266,Devin Neal,RB,NO,-7.91,237.5,11.0,-2.34
267,Dalton Schultz,TE,HOU,-7.94,206.0,6.0,3.66
268,Pat Bryant,WR,DEN,-7.96,216.5,12.0,-0.6000000000000001
269,Dont'e Thornton,WR,LV,-8.0,245.0,8.0,-0.64
270,Austin Reed,QB,CHI,-8.02,279.0,5.0,0.02
271,Jordan Whittington,WR,LAR,-8.02,282.0,8.0,-0.66
272,Jalen Tolbert,WR,DAL,-8.09,280.5,10.0,-0.74
273,Miles Sanders,RB,DAL,-8.12,223.5,10.0,-2.56
274,Cleveland Browns,DEF,CLE,-8.15,294.0,9.0,-4.26
275,Elic Ayomanor,WR,TEN,-8.21,266.0,10.0,-0.85
276,Michael Wilson,WR,ARI,-8.24,249.5,8.0,-0.88
277,A.J. Dillon,RB,PHI,-8.36,238.0,9.0,-2.8
278,New Orleans Saints,DEF,NO,-8.38,298.0,11.0,-4.49
279,DJ Giddens,RB,IND,-8.4,214.0,11.0,-2.83
280,Emanuel Wilson,RB,GB,-8.47,320.0,5.0,-2.9
281,Demarcus Robinson,WR,SF,-8.49,324.0,14.0,-1.13
282,Jacksonville Jaguars,DEF,JAX,-8.61,296.0,8.0,-4.72
283,New England Patriots,DEF,NE,-8.61,274.0,14.0,-4.73
284,Jaylin Noel,WR,HOU,-8.63,239.5,6.0,-1.28
285,Noah Gray,TE,KC,-8.65,274.5,10.0,2.95
286,Tai Felton,WR,MIN,-8.7,327.0,6.0,-1.35
287,Tyler Conklin,TE,LAC,-8.74,268.5,12.0,2.86
288,Anthony Miller,WR,BAL,-8.77,186.0,11.0,-1.42
