yahooId,name,team,position,status,injuryType,depthChart,rawPlayerText
33891,Jack Stoll,CLE,TE,IR,Undisclosed,Cle,Jack StollIRPlayer Note Cle - TE Sun 1:00 pm @ Jax
42245,Kye Robichaux,DET,RB,IR,Foot,Det,Kye RobichauxIRPlayer Note Det - RB Sun 1:00 pm vs NO
34203,Skylar Thompson,BAL,QB,IR,Undisclosed,Bal,Skylar ThompsonIRNo new player Notes Bal - QB Sun 1:00 pm @ Ind
40452,Jake Bobo,SEA,WR,IR,Knee,Sea,Jake BoboIRPlayer Note Sea - WR Wed 8:20 pm vs NE
42104,Luke Grimm,LAC,WR,IR,Undisclosed,LAC,Luke GrimmIRPlayer Note LAC - WR Sun 4:25 pm vs Ari
34617,Raheem Blackshear,DET,RB,IR,Undisclosed,Det,Raheem BlackshearIRNo new player Notes Det - RB Sun 1:00 pm vs NO
41819,Jayden Higgins,HOU,WR,IR,Knee - ACL,Hou,Jayden HigginsIRVideo ForecastPlayer Note Hou - WR Sun 1:00 pm vs Buf
42705,Chris Brazzell II,CAR,WR,IR,Knee,Car,Chris Brazzell IIIRVideo ForecastNo new player Notes Car - WR Sun 1:00 pm vs Chi
40167,Justin Shorter,LV,WR,IR,Undisclosed,LV,"Justin ShorterIRNo new player Notes LV - WR,TE Sun 4:25 pm vs Mia"
43368,Jimmy Kibble,NE,WR,IR,Undisclosed,NE,Jimmy KibbleIRNo new player Notes NE - WR Wed 8:20 pm @ Sea
42437,Jeremiah Webb,NE,WR,IR,Arm,NE,Jeremiah WebbIRNo new player Notes NE - WR Wed 8:20 pm @ Sea
41502,Cole Burgess,PIT,WR,IR,Undisclosed,Pit,Cole BurgessIRNo new player Notes Pit - WR Sun 1:00 pm vs Atl
43367,Myles Montgomery,NE,RB,IR,Undisclosed,NE,Myles MontgomeryIRNo new player Notes NE - RB Wed 8:20 pm @ Sea
32612,Gunner Olszewski,NYG,WR,IR,Achilles,NYG,Gunner OlszewskiIRNo new player Notes NYG - WR Sun 8:20 pm vs Dal
41066,Tanner McLachlan,SF,TE,IR,Undisclosed,SF,Tanner McLachlanIRNo new player Notes SF - TE Thu 8:35 pm @ LAR
43248,Corey Rucker,LV,WR,IR,Undisclosed,LV,Corey RuckerIRNo new player Notes LV - WR Sun 4:25 pm vs Mia
40874,Dante Miller,NYG,RB,IR,Groin,NYG,Dante MillerIRPlayer Note NYG - RB Sun 8:20 pm vs Dal
41975,Graham Mertz,HOU,QB,IR,Knee - ACL,Hou,Graham MertzIRPlayer Note Hou - QB Sun 1:00 pm vs Buf
33476,Trey Sermon,ATL,RB,IR,Undisclosed,Atl,Trey SermonIRPlayer Note Atl - RB Sun 1:00 pm @ Pit
43116,J. Michael Gyllenborg,KC,TE,IR,Knee,KC,J. Michael GyllenborgIRNo new player Notes KC - TE Mon 8:15 pm vs Den
42847,Jaren Kanak,TEN,TE,IR,Pectoral,Ten,Jaren KanakIRPlayer Note Ten - TE Sun 1:00 pm vs NYJ
31178,Cedrick Wilson Jr.,DET,WR,IR,Knee,Det,Cedrick Wilson Jr.IRPlayer Note Det - WR Sun 1:00 pm vs NO
40778,Princeton Fant,DAL,TE,IR,Knee - ACL + MCL,Dal,Princeton FantIRNo new player Notes Dal - TE Sun 8:20 pm @ NYG
41202,Xavier Weaver,ARI,WR,IR,Concussion,Ari,Xavier WeaverIRNo new player Notes Ari - WR Sun 4:25 pm @ LAC
41961,Robbie Ouzts,SEA,RB,IR,Neck,Sea,"Robbie OuztsIRPlayer Note Sea - RB,TE Wed 8:20 pm vs NE"
43098,Joshua Pitsenberger,HOU,RB,IR,Ankle,Hou,Joshua PitsenbergerIRPlayer Note Hou - RB Sun 1:00 pm vs Buf
43212,Jameson Geers,ARI,TE,IR,Undisclosed,Ari,Jameson GeersIRPlayer Note Ari - TE Sun 4:25 pm @ LAC
40892,Ricky Pearsall,SF,WR,IR,Knee - PCL,SF,Ricky PearsallIRVideo ForecastNo new player Notes SF - WR Thu 8:35 pm @ LAR
40629,Julian Hill,NE,TE,IR,Knee,NE,Julian HillIRNo new player Notes NE - TE Wed 8:20 pm @ Sea
33023,Dan Chisena,CAR,WR,IR,Undisclosed,Car,Dan ChisenaIRNo new player Notes Car - WR Sun 1:00 pm vs Chi
33235,Patrick Taylor Jr.,SF,RB,IR,Undisclosed,SF,Patrick Taylor Jr.IRPlayer Note SF - RB Thu 8:35 pm @ LAR
41261,Chris Collier,LV,RB,IR,Undisclosed,LV,Chris CollierIRNo new player Notes LV - RB Sun 4:25 pm vs Mia
41016,Jamari Thrash,CLE,WR,IR,Undisclosed,Cle,Jamari ThrashIRNo new player Notes Cle - WR Sun 1:00 pm @ Jax
41089,Johnny Wilson,PHI,WR,IR,Knee,Phi,Johnny WilsonIRPlayer Note Phi - WR Sun 4:25 pm vs Was
32695,Brandon Aiyuk,SF,WR,D,Knee - ACL + MCL,SF,Brandon AiyukDNRVideo ForecastNo new player Notes SF - WR Thu 8:35 pm @ LAR
42630,Jordyn Tyson,NO,WR,D,Hamstring,NO,Jordyn TysonDVideo ForecastPlayer Note NO - WR Sun 1:00 pm @ Det
