yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
41952,Tory Horton,SEA,WR,Q,Undisclosed,1,11,2.99,298,295,1,0,2.1,1.3,0.1,16.1,0,0.1,0,0
30136,Evan Engram,DEN,TE,,,1,10,3.46,299,291,2,0,3.1,2.1,0.1,18.2,0,0.1,0,0
41009,Troy Franklin,DEN,WR,,,1,10,2.82,301,270,2,0.1,2,1.3,0.4,14.4,0,0.1,0,0
40222,DeMario Douglas,NE,WR,,,1,11,3.25,304,357,1,0.3,2.3,1.5,1.8,17.5,0,0.1,0,0
34374,Jake Tonges,SF,TE,,,1,8,2.23,305,320,2,0,1.4,1.2,0,11.3,0,0.1,0,0
42817,Malik Benson,LV,WR,,,1,13,1.43,306,387,0,0,0.5,0.7,0,8.3,0,0,0,0
33465,Joshua Palmer,BUF,WR,,,1,7,1.97,307,371,0,0,1.4,0.8,0,11.9,0,0.1,0,0
40065,Michael Mayer,LV,TE,,,1,13,3.47,308,277,1,0,2.7,1.9,0,18.7,0,0.1,0,0
32292,Ashton Dulin,IND,WR,,,1,13,1.72,309,461,0,0.1,1.1,0.6,0.5,10.1,0,0.1,0,0
42747,Skyler Bell,BUF,WR,Q,Lower Body,1,7,1.54,310,334,1,0,0.8,0.7,0.1,8.6,0,0,0,0
34610,Malik Davis,DAL,RB,,,1,14,1.51,311,354,1,1.6,0.3,0.3,7.6,2.1,0.1,0,0,0
30125,Deshaun Watson,CLE,QB,,,1,11,10.85,312,153,3,2.3,0,0,8.9,0,0.1,0,0,0
31012,Mike Gesicki,CIN,TE,,,1,6,4.62,313,244,1,0,3.1,2.3,0,23.9,0,0.2,0,0
42727,Brenen Thompson,LAC,WR,Q,Undisclosed,1,7,2.08,314,358,0,0,1.2,0.9,0.1,11.9,0,0.1,0,0
41904,Elic Ayomanor,TEN,WR,,,1,9,2.74,315,330,1,0,1.8,1.1,0,15.2,0,0.1,0,0
41003,Theo Johnson,NYG,TE,Q,Undisclosed,1,8,3.36,316,281,1,0,2.3,1.5,0,18.2,0,0.1,0,0
41827,Mason Taylor,NYJ,TE,,,1,13,3.53,317,316,1,0,3.2,2,0,18.4,0,0.1,0,0
40989,Erick All Jr.,CIN,TE,,,1,6,2.9,318,335,0,0,1.8,1.5,0,15.3,0,0.1,0,0
40211,Andrei Iosivas,CIN,WR,,,1,6,4.06,319,232,1,0.1,2.9,1.6,0.6,22.1,0,0.2,0,0
42598,Isaiah Bond,CLE,WR,,,1,11,2.08,320,413,0,0.2,1.5,0.8,0.7,11.7,0,0.1,0,0
32018,Ty Johnson,BUF,RB,Q,Lower Leg,1,7,3,321,304,1,2.1,1.6,1,8.8,8.4,0.1,0.1,0,0
34094,Calvin Austin III,NYG,WR,,,1,8,2.16,322,383,0,0.1,1.7,0.9,0.4,11.9,0,0.1,0,0
41835,Elijah Arroyo,SEA,TE,,,1,11,3.07,323,318,1,0,2.3,1.4,0,16.4,0,0.1,0,0
40964,Luke McCaffrey,WAS,WR,,,1,7,1.21,324,419,1,0,0.8,0.5,0,6.6,0,0,0,0
42687,Carson Beck,ARI,QB,Q,Ribs,1,14,1,325,462,2,0.1,0,0,0.4,0,0,0,0,0
41972,Devin Neal,NO,RB,Q,Hamstring,1,8,0.48,326,444,0,0.4,0.1,0.2,1.5,1.4,0,0,0,0
42695,Oscar Delp,NO,TE,,,1,8,2.05,327,360,0,0,1.4,1.1,0,11.3,0,0.1,0,0
40430,Emari Demercado,KC,RB,,,1,5,1.76,328,390,1,1.4,0.7,0.6,7.1,4.1,0,0,0,0
41903,Chimere Dike,TEN,WR,,,1,9,3.03,329,292,3,0.5,1.7,1.1,1.5,11.3,0,0.1,0,0
31017,Christian Kirk,SF,WR,Q,Calf,1,8,1.63,330,305,1,0,0.8,0.8,0.1,9.5,0,0,0,0
41006,Sione Vaki,DET,RB,Q,Back,1,6,0.66,331,540,0,0.6,0.1,0.2,2.5,1.8,0,0,0,0
40162,Roschon Johnson,CHI,RB,,,1,10,0.57,332,477,0,0.8,0.1,0.1,3,0.6,0,0,0,0
32695,Brandon Aiyuk,SF,WR,D,Knee - ACL + MCL,0,8,0,333,256,4,0,0,0,0,0,0,0,0,0
42007,LeQuint Allen Jr.,JAX,RB,Q,Undisclosed,1,7,2.05,334,339,1,1,1.4,1,4.2,6.6,0,0.1,0,0
40958,Trey Benson,ARI,RB,NA,Knee,1,14,0.91,335,465,1,1,0.3,0.2,4.3,1.8,0,0,0,0
41913,Trevor Etienne,CAR,RB,,,1,5,1.4,336,403,1,1.4,0.4,0.4,6.3,2.1,0,0,0,0
41881,Kaleb Johnson,PIT,RB,,,1,9,0.64,337,400,1,0.7,0.1,0.1,2.5,1.3,0,0,0,0
42139,Raheim Sanders,CLE,RB,,,1,11,0.85,338,448,0,1,0.3,0.2,3.9,1.7,0,0,0,0
31906,Devin Singletary,NYG,RB,,,1,8,1.04,339,392,1,1.3,0.2,0.2,5.3,1.6,0,0,0,0
41064,Jawhar Jordan,HOU,RB,Q,Hip,1,8,1.04,340,405,0,1.4,0.3,0.2,6,1.3,0,0,0,0
42762,Colbie Young,CIN,WR,,,1,6,2.09,341,417,0,0,1.5,1,0,12,0,0.1,0,0
42819,CJ Daniels,LAR,WR,,,1,11,1.4,342,414,0,0,0.9,0.7,0.1,7.8,0,0,0,0
