yahooId,name,team,position,status,rank,percentDrafted,adpPreseason,adpAll,adpLast7
34088,Romeo Doubs,NE,WR,,122,26,131.8,131.8,
34095,Isaiah Likely,NYG,TE,,123,99,109.2,109.1,
42630,Jordyn Tyson,NO,WR,D,124,92,94.3,94,
30295,Aaron Jones Sr.,MIN,RB,,125,71,123.2,123,
40641,Keaton Mitchell,LAC,RB,,126,12,131.9,131.9,
40877,Xavier Worthy,KC,WR,Q,127,46,128.7,128.8,
31056,Mark Andrews,BAL,TE,,128,98,113.3,113.4,
34042,Malik Willis,MIA,QB,,129,39,124.6,124.8,
32696,Jordan Love,GB,QB,,130,61,124.1,124.3,
34659,Rashid Shaheed,SEA,WR,,131,14,128.2,128.3,
30971,Baker Mayfield,TB,QB,,132,43,126,126.3,
33113,Juwan Johnson,NO,TE,,133,35,127.5,127.7,
42661,Denzel Boston,CLE,WR,,134,4,131.4,131.5,
40095,Tank Bigsby,PHI,RB,,135,7,130.3,130.6,
41825,Tyler Shough,NO,QB,,136,26,129.8,130,
40119,Tyjae Spears,TEN,RB,,137,5,133.3,133.3,
34107,Tyler Allgeier,ARI,RB,,138,23,129.9,129.9,
34104,Khalil Shakir,BUF,WR,Q,139,13,131.3,131.4,
42730,Jonah Coleman,DEN,RB,,140,7,129.9,130.2,
40971,MarShawn Lloyd,GB,RB,,141,3,131.3,131.5,
41902,Woody Marks,HOU,RB,,142,10,131.5,131.6,
40075,Zach Charbonnet,SEA,RB,PUP,143,34,129.5,129.4,
26699,Keenan Allen,IND,WR,,144,2,123.7,123.9,
34085,Jake Ferguson,DAL,TE,,145,95,115.3,115.4,
40915,Adonai Mitchell,NYJ,WR,,146,,,,
31868,Deebo Samuel Sr.,SF,WR,,147,25,127.3,127.5,
42744,Mike Washington Jr.,LV,RB,,148,5,121.9,122.2,
34099,Chig Okonkwo,WAS,TE,,149,52,126.3,126.4,
40954,Jalen McMillan,TB,WR,Q,150,2,129.1,129.3,
34147,Jalen Nailor,LV,WR,,152,3,129.9,130.2,
99001,Travis Hunter,JAX,WR,,153,8,126.3,126.5,
34054,Brian Robinson,ATL,RB,,154,6,120.9,121.7,
42796,Emmett Johnson,KC,RB,,155,,,,
30973,Sam Darnold,SEA,QB,,156,16,122.4,122.7,
31838,Daniel Jones,IND,QB,,157,7,127.3,127.5,
31107,Dalton Schultz,HOU,TE,,158,7,127.9,128.4,
40078,Brenton Strange,JAX,TE,,159,41,128.8,128.9,
29269,Hunter Henry,NE,TE,,160,54,127.6,127.8,
41048,Tyrone Tracy Jr.,NYG,RB,,161,21,130.9,131,
40201,Dontayvion Wicks,PHI,WR,,163,,,,
41087,Ryan Flournoy,DAL,WR,,166,,,,
41935,Jaydon Blue,DAL,RB,,167,,,,
40029,Bryce Young,CAR,QB,,169,2,121.8,122.2,
40030,C.J. Stroud,HOU,QB,,170,8,125.4,125.6,
40980,Ray Davis,BUF,RB,,171,,,,
40981,Braelon Allen,NYJ,RB,,172,,,,
41860,Pat Bryant,DEN,WR,,173,,,,
42773,Cyrus Allen,KC,WR,,174,,,,
30180,Alvin Kamara,NO,RB,Q,177,19,126.1,126.1,
41001,AJ Barner,SEA,TE,,178,5,125.4,126,
41786,Cam Ward,TEN,QB,,179,3,125,125.3,
41840,Tre' Harris,LAC,WR,Q,180,,,,
41907,Dylan Sampson,CLE,RB,,181,,,,
34207,Isiah Pacheco,DET,RB,Q,183,12,125.8,126.2,
40114,Tre Tucker,LV,WR,,184,,,,
41831,Terrance Ferguson,LAR,TE,,185,3,126.8,126.7,
42702,Ja'Kobi Lane,BAL,WR,,186,2,125.3,125.5,
34036,Greg Dulcich,MIA,TE,,189,2,131.7,131.9,
42763,Nicholas Singleton,TEN,RB,,194,,,,
42697,Caleb Douglas,MIA,WR,,195,,,,
32685,Jerry Jeudy,CLE,WR,,196,,,,
31840,T.J. Hockenson,MIN,TE,,197,10,128.9,129.2,
41058,Malik Washington,MIA,WR,,198,,,,
41097,Devaughn Vele,NO,WR,,199,,,,
41885,Jaylin Noel,HOU,WR,Q,200,,,,
42638,Kenyon Sadiq,NYJ,TE,Q,201,15,130,130,
42652,Omar Cooper Jr.,NYJ,WR,,204,2,129.9,130.2,
42712,Kaelon Black,SF,RB,,205,,,,
32887,Jauan Jennings,MIN,WR,,206,2,126.5,126.9,
42820,Demond Claiborne,MIN,RB,,207,,,,
41951,Oronde Gadsden,LAC,TE,,208,31,126.6,126.6,
41344,George Holani,SEA,RB,,209,,,,
33412,Najee Harris,NYG,RB,,210,,,,
41031,Isaiah Davis,NYJ,RB,Q,214,,,,
30996,Calvin Ridley,TEN,WR,,215,,,,
29325,Jacoby Brissett,ARI,QB,,216,,,,
42623,Fernando Mendoza,LV,QB,,218,5,119.3,120,
41865,Isaac TeSlaa,DET,WR,,219,2,125.1,125.4,
33415,Rashod Bateman,BAL,WR,,221,,,,
42701,Zachariah Branch,ATL,WR,,222,,,,
41969,Ollie Gordon II,MIA,RB,Q,225,,,,
41905,Gunnar Helm,TEN,TE,,226,,,,
30218,James Conner,ARI,RB,Q,228,2,125.6,125.9,
42809,Kaytron Allen,WAS,RB,,229,,,,
42780,Adam Randall,BAL,RB,Q,230,,,,
41843,Jack Bech,LV,WR,,232,,,,
34005,Tyquan Thornton,KC,WR,,233,,,,
33971,Jahan Dotson,ATL,WR,,235,,,,
42693,Antonio Williams,WAS,WR,,236,,,,
40224,Kayshon Boutte,HOU,WR,,237,,,,
30182,Cooper Kupp,SEA,WR,,238,3,120.3,120.4,
42706,Ted Hurst III,TB,WR,,239,,,,
42696,Malachi Fields,NYG,WR,,242,,,,
40742,Sean Tucker,TB,RB,,243,,,,
32843,Darnell Mooney,NYG,WR,,244,,,,
41052,Kimani Vidal,LAC,RB,,250,,,,
40097,Tank Dell,HOU,WR,Q,252,,,,
26662,Geno Smith,NYJ,QB,,253,,,,
7200,Aaron Rodgers,PIT,QB,,254,2,115.9,116.3,
32675,Tua Tagovailoa,ATL,QB,,255,,,,
31945,Justice Hill,BAL,RB,,256,,,,
42859,Seth McGowan,IND,RB,,258,,,,
25812,Kirk Cousins,LV,QB,,260,,,,
41983,Tahj Brooks,CIN,RB,,261,,,,
41937,DJ Giddens,IND,RB,Q,262,,,,
40889,Michael Penix Jr.,ATL,QB,Q,263,,,,
42716,Chris Bell,MIA,WR,,264,,,,
40911,Keon Coleman,BUF,WR,Q,268,,,,
32803,Colby Parkinson,LAR,TE,,269,,,,
41930,Shedeur Sanders,CLE,QB,,270,,,,
42669,Germie Bernard,PIT,WR,,271,,,,
34084,Charlie Kolar,LAC,TE,,272,,,,
34062,Cade Otton,TB,TE,Q,273,,,,
40890,Xavier Legette,CAR,WR,Q,276,,,,
42758,Bryce Lance,NO,WR,,278,,,,
41010,Jaylen Wright,MIA,RB,,279,,,,
32003,Darius Slayton,NYG,WR,,280,,,,
40707,Emanuel Wilson,SEA,RB,Q,281,,,,
42676,Eli Stowers,PHI,TE,Q,282,,,,
33443,Pat Freiermuth,PIT,TE,,283,3,124.3,124.5,
42717,Eli Raridon,NE,TE,,285,,,,
40094,Darnell Washington,PIT,TE,,286,,,,
28592,Darren Waller,CAR,TE,,287,,,,
29344,Tyler Higbee,LAR,TE,,288,,,,
30142,David Njoku,LAC,TE,,289,3,124.4,124.6,
42018,Phil Mafah,DAL,RB,Q,290,,,,
33973,Treylon Burks,WAS,WR,,291,,,,
40108,Kendre Miller,NO,RB,,292,,,,
30227,Samaje Perine,CIN,RB,,293,,,,
41933,Jordan James,SF,RB,Q,294,,,,
40625,Chris Brooks,GB,RB,,295,,,,
42737,Elijah Sarratt,BAL,WR,,296,,,,
40232,Xavier Hutchinson,HOU,WR,,297,,,,
41952,Tory Horton,SEA,WR,Q,298,,,,
30136,Evan Engram,DEN,TE,,299,,,,
41009,Troy Franklin,DEN,WR,,301,,,,
40222,DeMario Douglas,NE,WR,,304,,,,
34374,Jake Tonges,SF,TE,,305,,,,
42817,Malik Benson,LV,WR,,306,,,,
33465,Joshua Palmer,BUF,WR,,307,,,,
40065,Michael Mayer,LV,TE,,308,,,,
32292,Ashton Dulin,IND,WR,,309,,,,
42747,Skyler Bell,BUF,WR,Q,310,,,,
34610,Malik Davis,DAL,RB,,311,,,,
30125,Deshaun Watson,CLE,QB,,312,,,,
31012,Mike Gesicki,CIN,TE,,313,,,,
