yahooId,name,team,position,status,injuryType,gp,bye,fanPts,preSeasonRank,actualRank,percentRostered,rushAtt,targets,receptions,rushYds,recYds,rushTd,recTd,fortyYdRush,fortyYdRec
29369,Dak Prescott,DAL,QB,,,16,14,297.42,82,82,96,42.9,0,0,156,0,1.4,0,0,0
33392,Kyle Pitts Sr.,ATL,TE,,,16,11,140.98,83,83,97,0,100,70.3,0,775,0,4.6,0,0.8
32725,J.K. Dobbins,DEN,RB,,,14,10,136.43,84,84,87,173,27.5,19.3,761,114,5.7,0.7,0.5,0
40121,Michael Wilson,ARI,WR,,,16,14,134.24,85,85,85,0.3,94.4,58.3,2,755,0,4.6,0,1.7
30197,Chris Godwin Jr.,TB,WR,,,15,10,134.56,86,86,87,0.7,100,63.3,3,723,0,4.9,0,1.1
28534,Stefon Diggs,WAS,WR,,,15,7,126.65,87,87,82,0.3,90.9,59.5,2,681,0,4.6,0,1.1
42010,Jacory Croskey-Merritt,WAS,RB,Q,Undisclosed,16,7,124.03,88,88,81,158,19.9,14.8,703,109,5.3,0.6,0.8,0
42655,De'Zhaun Stribling,SF,WR,Q,Shoulder,16,8,91.47,89,89,54,0.7,61.1,41.8,0,510,0,3.2,0,0.4
40126,Josh Downs,IND,WR,,,16,13,146.79,90,90,85,2.5,101,72.8,13.2,775,0,5.1,0,1.1
40962,Blake Corum,LAR,RB,,,16,11,134.47,91,91,85,166,20.7,16.1,760,100,6.3,0.6,0.5,0
40051,Quentin Johnston,LAC,WR,Q,Lower Body,16,7,124.76,92,92,81,2.2,87,50.5,11.3,672,0,4.9,0,1.6
30259,George Kittle,SF,TE,Q,Achilles,14,8,129.34,93,93,94,0.2,82.1,59.8,0.1,697,0,4.9,0,0.3
40042,Jordan Addison,MIN,WR,,,16,6,132.38,94,94,81,3,87,52.1,28.9,707,0.1,5.1,0,1.6
40063,Jayden Reed,GB,WR,,,16,11,144.96,95,95,81,10.6,88.3,58.6,64.7,769,0.2,5.2,0,1.2
33514,Chuba Hubbard,CAR,RB,Q,Hamstring,16,5,147.06,96,96,88,182,33.5,28.6,741,200,5.1,1.4,0.8,0.1
34218,Brock Purdy,SF,QB,,,15,8,273.52,97,97,90,56,0,0,231,0,1.9,0,0,0
31010,Courtland Sutton,DEN,WR,,,16,10,137.4,98,98,86,0,93.8,55.2,0,747,0,5.7,0,1.2
34008,Alec Pierce,IND,WR,PUP,Ankle,16,13,162.4,99,99,86,0.5,93,55.2,3,936,0,6.3,0,3.1
40875,Bo Nix,DEN,QB,,,16,10,278.25,100,100,91,67.5,0,0,286,0,2.4,0,0,0
34320,Jordan Mason,MIN,RB,,,16,6,135.67,101,101,79,173,24.8,17.5,768,105,6,0.7,0.4,0.1
32704,Michael Pittman Jr.,PIT,WR,Q,Hamstring,16,9,138.49,102,102,80,0.3,108,69.5,2.3,750,0,4.6,0,1.1
41810,Jaxson Dart,NYG,QB,,,16,8,286.17,103,103,92,94,0,0,470,0,4.9,0,0.2,0
42646,KC Concepcion,CLE,WR,,,16,11,123.78,104,104,58,5.2,90.9,56.1,24.2,673,0.1,3.8,0,1.1
41808,Matthew Golden,GB,WR,,,16,11,128.07,105,105,64,7.9,88,53.2,43.4,680,0.1,4.5,0,1.6
40048,Dalton Kincaid,BUF,TE,,,16,7,117.76,106,106,91,0,77.1,55.1,0,657,0,4.1,0,0.2
42642,Makai Lemon,PHI,WR,,,16,10,118.8,107,107,75,0.7,80.6,51,3.3,682,0,4,0,1
42025,Kyle Monangai,CHI,RB,Q,Knee,16,10,147.89,108,108,81,169,29,21.7,758,173,6.3,1.1,0.9,0.1
41845,RJ Harvey,DEN,RB,,,15,10,138.36,109,109,83,124,48.6,41,503,310,3.9,2.4,0.2,0.1
31833,Kyler Murray,MIN,QB,,,15,6,263.64,110,110,78,76,0,0,421,0,2.1,0,0.1,0
34047,Rachaad White,WAS,RB,Q,Calf,16,7,128.22,111,111,70,125,43.6,34.2,536,235,3.8,2,0.4,0.1
41293,Jalen Coker,CAR,WR,,,16,5,122.46,112,112,45,0.3,80.8,55.3,2,689,0,4.1,0,1
9265,Matthew Stafford,LAR,QB,,,16,11,262.19,113,113,91,23.3,0,0,33.1,0,0.2,0,0,0
33538,Kenny Gainwell,TB,RB,,,16,10,141.45,114,114,78,114,57,45.1,485,325,4,2.3,0.2,0.1
40231,Chris Rodriguez Jr.,JAX,RB,,,16,7,111.3,115,115,51,153,15,10.7,651,88.7,5.2,0.3,0.3,0
31019,Dallas Goedert,PHI,TE,,,15,10,118.51,116,116,90,0,84.3,57.3,0,612,0,4.8,0,0.2
30123,Patrick Mahomes,KC,QB,Q,Knee - ACL,16,5,274.83,117,117,89,50.9,0,0,249,0,1.2,0,0.1,0
26686,Travis Kelce,KC,TE,,,15,5,130.17,118,118,93,0.2,97.4,65,0.4,707,0,4.5,0,0.2
29235,Jared Goff,DET,QB,,,16,6,278.98,119,119,83,26.3,0,0,61.6,0,0.7,0,0,0
32231,Jakobi Meyers,JAX,WR,Q,Hand,16,7,132.7,120,120,58,4,99.4,60,15.6,700,0.1,4.9,0,1.7
33998,Wan'Dale Robinson,TEN,WR,,,16,9,133.65,121,121,59,3.1,106,68.8,14.4,741,0,3.8,0,1
34088,Romeo Doubs,NE,WR,,,16,11,118.83,122,122,45,0,81.3,49,0,646,0,4.8,0,1.1
34095,Isaiah Likely,NYG,TE,,,16,8,114.16,123,123,87,0,81,55.2,0,601,0,4.4,0,0.2
42630,Jordyn Tyson,NO,WR,D,Hamstring,11,8,102.1,124,124,70,0.3,63.7,46.8,2,566,0,3.5,0,1
30295,Aaron Jones Sr.,MIN,RB,,,15,6,132.43,125,125,69,138,52.5,36.4,582,270,3.4,1.6,0.2,0.1
40641,Keaton Mitchell,LAC,RB,,,16,7,89.62,126,126,36,97.3,21.5,18.8,446,138,3,0.8,0.1,0
40877,Xavier Worthy,KC,WR,Q,Shoulder,16,5,121.44,127,127,52,14.3,83,47.8,80.4,618,0.7,3.9,0,1.5
31056,Mark Andrews,BAL,TE,,,15,13,129.18,128,128,86,6.4,81.9,57.1,23.5,578,0.4,6.4,0,0.2
34042,Malik Willis,MIA,QB,,,15,6,264.23,129,129,43,99.1,0,0,549,0,4.1,0,0.2,0
32696,Jordan Love,GB,QB,,,16,11,272.56,130,130,62,46.8,0,0,182,0,1.3,0,0,0
34659,Rashid Shaheed,SEA,WR,,,16,11,111.07,131,131,41,9.6,74.2,42,58.5,552,0.3,3.7,0,1.5
30971,Baker Mayfield,TB,QB,,,16,10,255.11,132,132,57,53.2,0,0,265,0,1.3,0,0,0
33113,Juwan Johnson,NO,TE,,,16,8,110.76,133,133,49,0,76.6,54.9,0,615,0,3.6,0,0.2
42661,Denzel Boston,CLE,WR,,,16,11,106.71,134,134,26,0.7,82.8,50.6,4.3,600,0,3.3,0,1.1
40095,Tank Bigsby,PHI,RB,,,16,10,69.17,135,135,28,92.3,8,6.7,416,59.7,3,0.2,0.1,0
41825,Tyler Shough,NO,QB,,,16,8,273.1,136,136,41,71.5,0,0,284,0,3.4,0,0.1,0
